question,document
"Can I still join the course if I just found it, and is there anything I need to do for the certificate?",74eb249bbf
"If I'm late to the course, can I still take part, and do I need to submit the project by a certain time to get a certificate?",74eb249bbf
"I just came across this course — am I allowed to join now, or is it too late for certification?",74eb249bbf
"Is it okay to start the course after it has already begun, and what do I need to do if I want the certificate?",74eb249bbf
"Can new students still enroll now, and does the project have to be submitted before submissions close to get a certificate?",74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,977bf7786c
"Do I need a registration confirmation to start the course, or can I just begin right away?",977bf7786c
"Is there some official accepted list for homework submissions, or is registration just for something else?",977bf7786c
"If I already registered for the LLM Zoomcamp, does that mean I’m automatically accepted?",977bf7786c
What’s the point of registering for the course if it isn’t required to access the homework?,977bf7786c
Where do students actually join the Office Hours live stream if the Zoom link isn’t shared with us?,489dd1c9d9
How are we supposed to ask questions during live workshop or office hours sessions?,489dd1c9d9
"Will the stream/video link for office hours be posted somewhere before it starts, and where should I look?",489dd1c9d9
"Can I just ask questions in the live chat during the session, or is there another place to submit them?",489dd1c9d9
"Is there a public YouTube stream for these sessions, or do I need access to Zoom to watch live?",489dd1c9d9
"What’s the best place to begin LLM Zoomcamp, and what docs or repo should I check first?",04919992b3
"Can I start the course whenever I want, or is there a fixed start date and schedule?",04919992b3
"What does the usual weekly routine look like for this course—videos, notebooks, homework, then submission?",04919992b3
Where do I find the homework instructions and the deadline for each week?,04919992b3
"Is the homework basically the same as the lesson exercises, or does it use different data/tasks?",04919992b3
How do I find my own entry on the leaderboard if I can’t spot it right away?,c2903069a0
"Why does my leaderboard name look random, and can I change it to something else?",c2903069a0
Where can I check what display name I’m using for the course?,c2903069a0
"If I want my certificate to show my real name instead of the default nickname, what should I update?",c2903069a0
What’s the difference between the nickname field and the official-name field in my course profile?,c2903069a0
Can I take the course self-paced and still get a certificate at the end?,69d122f12e
"If I do the course on my own schedule, will I receive the certificate anyway?",69d122f12e
Why isn't there a certificate option for the self-paced version of the course?,69d122f12e
Do I need to be in a live cohort to qualify for the certificate?,69d122f12e
Is the certificate tied to the peer-review of capstone projects during the course run?,69d122f12e
