question,answer_llm,answer_orig,document
"Can I still join the course if I just found it, and is there anything I need to do for the certificate?","Yes — you can still join the course even if you just found it.

For the certificate:
- You must submit your project while submissions are still open.
- Certificates are only available if you finish with a live cohort, not in self-paced mode.
- You also need to peer-review 3 capstone projects after submitting your project.

","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"If I'm late to the course, can I still take part, and do I need to submit the project by a certain time to get a certificate?","Yes, you can still join even if you’re late. But if you want a certificate, you must submit your project while submissions are still being accepted.

Also, certificates are only available if you finish with the live cohort, not in self-paced mode, and you need to complete peer reviews as part of that process.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"I just came across this course — am I allowed to join now, or is it too late for certification?","Yes, you can still join now. But if you want a certificate, you need to submit your project while submissions are still being accepted.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Is it okay to start the course after it has already begun, and what do I need to do if I want the certificate?","Yes, you can still join after the course has already started. If you want a certificate, make sure you submit your project while submissions are still being accepted, and you must finish the course with the live cohort.

To get the certificate, you also need to:
- complete the course in the live cohort (not self-paced), and
- peer-review 3 capstones after submitting your project.

If you want, I can also explain how to make sure your name appears correctly on the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
"Can new students still enroll now, and does the project have to be submitted before submissions close to get a certificate?","Yes, new students can still join the course.

But to get a certificate, you must submit your capstone project while submissions are still open. If the submission form is already closed, you won’t be able to get the certificate.","Yes, but if you want to receive a certificate, you need to submit your project while we’re still accepting submissions.",74eb249bbf
I signed up for the LLM Zoomcamp — when should I expect the confirmation email?,"You don’t need to wait for a confirmation email — you’re accepted. You can start learning and submit homework while the form is open, and registration is just used to gauge interest.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Do I need a registration confirmation to start the course, or can I just begin right away?","You don’t need a registration confirmation to start. You can begin learning and submitting homework right away while the form is open. Registration is just for gauging interest, and it isn’t checked against a registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"Is there some official accepted list for homework submissions, or is registration just for something else?","There is no official accepted registration list for homework submissions. You can start learning and submitting homework while the form is open without registering, and registration is only used to gauge interest before the start date.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
"If I already registered for the LLM Zoomcamp, does that mean I’m automatically accepted?","Yes — if you registered for the LLM Zoomcamp, you’re considered accepted. Registration is just to gauge interest and is not checked against a registered list. You can also start learning and submitting homework even without registering, while the form is open.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
What’s the point of registering for the course if it isn’t required to access the homework?,"Registration is just to gauge interest before the start date. You can start learning and submit homework while the form is open without registering, and it isn’t checked against any registered list.",You don't need it. You're accepted. You can also just start learning and submitting homework (while the form is open) without registering. It is not checked against any registered list. Registration is just to gauge interest before the start date.,977bf7786c
